"contrast","taxon","lfc","se","q_value","lfc_lower","lfc_upper"
"(Intercept)","Micrococcaceae",-2.6242386170029,0.310158805069462,7.43915643000521e-13,-3.23214987493904,-2.01632735906675
"(Intercept)","Bacteria_Firmicutes_Bacilli_Bacillales_Family XI",-1.11761464761587,0.34849532714556,0.0477309540613001,-1.80066548882117,-0.434563806410574
"(Intercept)","Erysipelotrichaceae",-1.88668707028041,0.378639123880755,7.04933066981387e-05,-2.62881975308669,-1.14455438747413
"(Intercept)","Neisseriaceae",-1.57410537030779,0.320803703809842,7.26245452436903e-05,-2.20288062977508,-0.945330110840497
"time_factorT2","Fusobacteriaceae",-0.937913108924457,0.280740825992676,0.0380560475525589,-1.4881651278701,-0.387661089978812
"batch3","Micrococcaceae",4.35876491268407,0.374797062649773,1.61532111267357e-21,3.62416266989052,5.09336715547762
"batch3","Bacteria_Firmicutes_Bacilli_Bacillales_Family XI",2.04981038434424,0.420030181998169,6.7337811768221e-05,1.22655122762783,2.87306954106065
"batch3","Lachnospiraceae",1.48302907985503,0.347479775373639,0.000824634385167038,0.801968720122696,2.16408943958736
"batch3","Erysipelotrichaceae",2.54054092960548,0.434059964400629,1.42463907800974e-06,1.68978339938024,3.39129845983071
"batch3","Veillonellaceae",1.97816116056852,0.376786964964472,1.25027948528229e-05,1.23965870923815,2.71666361189888
"batch3","Fusobacteriaceae",2.18125529282906,0.381228450950319,1.58251880092096e-06,1.43404752896643,2.92846305669168
"batch3","Leptotrichiaceae",2.37616585031709,0.398136266751306,6.74123977259087e-07,1.59581876748453,3.15651293314965
"batch3","Neisseriaceae",2.91461182079741,0.385497184866616,9.42435027984473e-11,2.15903733845884,3.67018630313598
